pity.n.02	an unfortunate development	REGRET_SORRY
fete.n.01	an elaborate party (often outdoors)	CELEBRATE_PARTY
heave.n.04	an involuntary spasm of ineffectual vomiting	EXCRETE
exhortation.n.01	a communication intended to urge or persuade the recipients to take some action	PERSUADE
exhortation.n.02	the act of exhorting; an earnest attempt at persuasion	PERSUADE
barter.n.01	an equal exchange	CHANGE-HANDS
enjoyment.n.02	act of receiving pleasure from something	ENJOY
battle.n.01	a hostile meeting of opposing military forces in the course of a war	FIGHT
character.n.04	an actor's portrayal of someone in a play	PERFORM
drift.n.01	a force that moves something along	MOVE-SOMETHING
gust.n.01	a strong current of air	AIR
beam.n.04	a column of light (as from a beacon)	LIGHT_SHINE
carry.n.01	the act of carrying something	CARRY_TRANSPORT
output.n.02	production of a certain amount	GENERATE
beat.n.06	the sound of stroke or blow	MAKE-A-SOUND
beat.n.09	a stroke or blow	HIT
exhaustion.n.03	the act of exhausting something entirely	EXHAUST
fibbing.n.01	a trivial act of lying or being deliberately unclear	DECEIVE
lying.n.01	the deliberate act of deviating from the truth	DECEIVE
drive.n.01	the act of applying force to propel something	GO-FORWARD
thrill.n.03	something that causes you to experience a sudden intense feeling or sensation	CAUSE-MENTAL-STATE
fog.n.02	an atmosphere in which visibility is reduced because of a cloud of some substance	DIM
turn.n.04	an unforeseen development	TURN_CHANGE-DIRECTION
badgering.n.01	the act of harassing someone	OFFEND_DISESTEEM
crucifixion.n.03	the infliction of extremely painful punishment or suffering	HURT_HARM_ACHE
fortification.n.03	the addition of an ingredient for the purpose of enrichment (as the addition of alcohol to wine or the addition of vitamins to food)	STRENGTHEN_MAKE-RESISTANT
beep.n.01	a short high tone produced as a signal or warning	MAKE-A-SOUND
fraud.n.03	something intended to deceive; deliberate trickery intended to gain an advantage	DECEIVE
generation.n.07	the act of producing offspring or multiplying by such production	GENERATE
genesis.n.01	a coming into being	GIVE-BIRTH
consideration.n.01	the process of giving careful thought to something	CONSIDER
consideration.n.03	a discussion of a topic (as in a meeting)	CONSIDER
deprecation.n.02	the act of expressing disapproval (especially of yourself)	REFUSE
minimization.n.01	the act of reducing something to the least possible amount or degree or position	DOWNPLAY_HUMILIATE
bell.n.03	the sound of a bell being struck	MAKE-A-SOUND
haste.n.02	the act of moving hurriedly and in a careless manner	RUN
spatter.n.02	the act of splashing a (liquid) substance on a surface	WET
bet.n.02	the act of gambling	BID
informing.n.01	to furnish incriminating evidence to an officer of the law (usually in return for favors)	INFORM
shit.n.04	a coarse term for defecation	EXCRETE
deception.n.02	the act of deceiving	DECEIVE
bicker.n.01	a quarrel about petty points	QUARREL_POLEMICIZE
branching.n.01	the act of branching out or dividing into branches	SEPARATE_FILTER_DETACH
slip.n.15	the act of avoiding capture (especially by cunning)	LEAVE_DEPART_RUN-AWAY
charge.n.11	request for payment of a debt	CHARGE
tying.n.01	the act of tying or binding things together	SECURE_FASTEN_TIE
spin.n.02	the act of rotating rapidly	ROLL
run.n.06	a regular trip	TRAVEL
veto.n.01	a vote that blocks a decision	PRECLUDE_FORBID_EXPEL
blackmail.n.01	extortion of money by threats to divulge discrediting information	STEAL_DEPRIVE
mistake.n.01	a wrong action attributable to bad judgment or ignorance or inattention	MISTAKE
blandishment.n.02	the act of urging by means of teasing or flattery	LURE_ENTICE
flare.n.02	a sudden burst of flame	BURN
venesection.n.01	surgical incision into a vein; used to treat hemochromatosis	CUT
blend.n.01	an occurrence of thorough mixing	COMBINE_MIX_UNITE
blend.n.03	the act of blending components together thoroughly	COMBINE_MIX_UNITE
fusion.n.01	an occurrence that involves the production of a union	COMBINE_MIX_UNITE
fusion.n.07	the act of fusing (or melting) together	CONVERT
consecration.n.02	(religion) sanctification of something by setting it apart (usually with religious rites) as dedicated to God	COMMUNE
sanctification.n.01	a religious ceremony in which something is made holy	COMMUNE
blink.n.01	a reflex that closes and opens the eyes rapidly	FACIAL-EXPRESSION
stop.n.02	the act of stopping something	STOP
blockade.n.01	a war measure that isolates some area of importance to the enemy	ENCLOSE_WRAP
blossoming.n.01	the time and process of budding and unfolding of blossoms	GROW_PLOW
mottling.n.01	the act of coloring with areas of different shades	COLOR
extinction.n.06	the act of extinguishing; causing to stop burning	FINISH_CONCLUDE_END
snivel.n.01	whining in a tearful manner	CRY
concentration.n.04	increase in density	CHANGE-APPEARANCE/STATE
dash.n.06	the act of moving with great haste	RUN
failing.n.02	failure to reach a minimum required performance	FAIL_LOSE
buzz.n.01	sound of rapid vibration	MAKE-A-SOUND
hiss.n.01	a fricative sound (especially as an expression of disapproval)	MAKE-A-SOUND
booking.n.02	the act of reserving (a place or passage) or engaging the services of (a person or group)	RESERVE
hug.n.01	a tight or amorous embrace	TOUCH
suppression.n.02	the act of withholding or withdrawing some book or writing from publication or circulation	RESTRAIN
bounce.n.03	rebounding from an impact (or series of impacts)	MOVE-BACK
leap.n.01	a light, self-propelled movement upwards or forwards	JUMP
resilience.n.02	an occurrence of rebounding or springing back	RESTORE-TO-PREVIOUS/INITIAL-STATE_UNDO_UNWIND
ricochet.n.01	a glancing rebound	HIT
limitation.n.05	an act of limiting or restricting (as by regulation)	RESTRAIN
prostration.n.02	abject submission; the emotional equivalent of prostrating your body	LOWER
box.n.10	a blow with the hand (usually on the ear)	HIT
boxing.n.01	fighting with the fists	FIGHT
denunciation.n.01	a public act of denouncing	ACCUSE
stigmatization.n.01	the act of stigmatizing	ACCUSE
clack.n.01	a sharp abrupt noise as if two objects hit together; may be repeated	MAKE-A-SOUND
bray.n.01	the cry of an ass	MAKE-A-SOUND
crush.n.04	the act of crushing	PRESS_PUSH_FOLD
grind.n.04	the act of grinding to a powder or dust	BREAK_DETERIORATE
breakage.n.03	the act of breaking something	BREAK_DETERIORATE
flop.n.03	a complete failure	FAIL_LOSE
discontinuance.n.01	the act of discontinuing or breaking off; an interruption (temporary or permanent)	FINISH_CONCLUDE_END
expose.n.01	the exposure of an impostor or a fraud	REVEAL
surf.n.01	waves breaking on the shore	FLOW
dissolution.n.05	the termination or disintegration of a relationship (between persons or nations)	DISBAND_BREAK-UP
separation.n.02	coming apart	DISBAND_BREAK-UP
relegation.n.02	the act of assigning (someone or something) to a particular class or category	SORT_CLASSIFY_ARRANGE
cave_in.n.01	the sudden collapse of something into a hollow beneath it	BREAK_DETERIORATE
fracture.n.03	the act of cracking something	BREAK_DETERIORATE
chip.n.09	the act of chipping something	BREAK_DETERIORATE
secession.n.03	formal separation from an alliance or federation	DISBAND_BREAK-UP
dispersion.n.01	spreading widely or driving off	CIRCULATE_SPREAD_DISTRIBUTE
dispersion.n.03	the act of dispersing or diffusing something	CIRCULATE_SPREAD_DISTRIBUTE
dissipation.n.01	breaking up and scattering by dispersion	CIRCULATE_SPREAD_DISTRIBUTE
scatter.n.02	the act of scattering	COVER_SPREAD_SURMOUNT
dissolving.n.01	the process of going into solution	COMBINE_MIX_UNITE
dissolution.n.01	separation into component parts	SEPARATE_FILTER_DETACH
breathing.n.01	the bodily process of inhalation and exhalation; the process of taking in oxygen from inhaled air and releasing carbon dioxide by exhalation	BREATH_BLOW
emission.n.01	the act of emitting; causing to flow forth	EMIT
reproduction.n.05	the sexual activity of conceiving and bearing offspring	HAVE-SEX
transportation.n.02	the act of moving something from one location to another	CARRY_TRANSPORT
return.n.05	the act of going back to a prior location	MOVE-BACK
imposition.n.01	the act of imposing something (as a tax or an embargo)	OBLIGE_FORCE
landing.n.03	the act of coming down to the earth (or other surface)	LAND_GET-OFF
trim.n.04	cutting down to the desired size or shape	CUT
induction.n.05	the act of bringing about something (especially at an early time)	SPEED-UP
breeding.n.03	helping someone grow up to be an accepted member of the community	DEVELOP_AGE
circulation.n.06	the spread or transmission of something (as news or money) to a wider group or area	CIRCULATE_SPREAD_DISTRIBUTE
spread.n.01	process or result of distributing or extending over a wide expanse of space	CIRCULATE_SPREAD_DISTRIBUTE
spread.n.10	act of extending over a wider scope or expanse of space or time	EXTEND
hatch.n.01	the production of young from an egg	GIVE-BIRTH
sweeping.n.01	the act of cleaning with a broom	WASH_CLEAN
shopping.n.01	searching for or buying goods or services	BUY
graze.n.02	the act of grazing	EAT_BITE
sweep.n.06	a movement in an arc	MOVE-SOMETHING
disregard.n.01	lack of attention and due care	DOWNPLAY_HUMILIATE
disregard.n.02	willful lack of care and attention	DOWNPLAY_HUMILIATE
jerk.n.02	an abrupt spasmodic movement	MOVE-ONESELF
giving_up.n.01	a verbal act of admitting defeat	GIVE-UP_ABOLISH_ABANDON
devising.n.01	the act that results in something coming to be	MOUNT_ASSEMBLE_PRODUCE
exploitation.n.01	the act of making some area of land or water more profitable or productive or useful	BENEFIT_EXPLOIT
hesitation.n.03	the act of pausing uncertainly	DELAY
meeting.n.03	a casual or unexpected convergence	MEET
bunco.n.01	a swindle in which you cheat at gambling or persuade a person to buy worthless property	DECEIVE
exploitation.n.02	an act that exploits or victimizes someone (treats them unfairly)	BENEFIT_EXPLOIT
scam.n.01	a fraudulent business scheme	STEAL_DEPRIVE
fire.n.03	the process of combustion of inflammable materials producing heat and light and (often) smoke	BURN
incandescence.n.01	the phenomenon of light emission by a body as its temperature is raised	LIGHT_SHINE
foray.n.01	a sudden short attack	ATTACK_BOMB
snap.n.07	a sudden breaking	BREAK_DETERIORATE
flirt.n.02	playful behavior intended to arouse sexual interest	COURT
redemption.n.03	the act of purchasing back something previously sold	BUY
death.n.01	the event of dying or departure from life	KILL
death.n.02	the permanent end of all life functions in an organism or part of an organism	KILL
death.n.08	the act of killing	KILL
passing.n.02	euphemistic expressions for death	LEAVE_DEPART_RUN-AWAY
calibration.n.01	the act of checking or adjusting (by comparison with a standard) the accuracy of a measuring instrument	ADJUST_CORRECT
ring.n.06	the sound of a bell ringing; ; ; --E. A. Poe	MAKE-A-SOUND
memory.n.02	the cognitive processes whereby past experience is remembered	REMEMBER
mobilization.n.01	act of assembling and putting into readiness for war or other emergency:	PREPARE
mobilization.n.02	act of marshaling and organizing and making ready for use or action	PREPARE
sedation.n.02	the administration of a sedative agent or drug	TREAT-WITH/BY
disguise.n.03	the act of concealing the identity of something by modifying its appearance	CLOUD_SHADOW_HIDE
dismissal.n.04	the termination of someone's employment (leaving them free to depart)	DISMISS_FIRE-SMN
channel.n.05	(often plural) a means of communication or access	TRANSMIT
channelization.n.01	management through specified channels of communication	TRANSMIT
carom.n.02	a shot in billiards in which the cue ball contacts one object ball and then the other	HIT
canter.n.01	a smooth three-beat gait; between a trot and a gallop	MOVE-BY-MEANS-OF
intonation.n.03	the act of singing in a monotonous tone	SING
capitulation.n.03	the act of surrendering (usually under agreed conditions)	RESIGN_RETIRE
capture.n.04	the act of taking of a person by force	REMOVE_TAKE-AWAY_KIDNAP
management.n.01	the act of managing something	MANAGE
treatment.n.02	the management of someone or something	MANAGE
wobble.n.01	an unsteady rocking motion	MOVE-ONESELF
orgy.n.03	a wild gathering involving excessive drinking and promiscuity	HAVE-SEX
channel.n.01	a path over which electrical signals can pass	TRANSMIT
transmission.n.01	the act of sending a message; causing a message to be transmitted	TRANSMIT
continuance.n.01	the act of continuing an activity without interruption	CONTINUE
follow-up.n.03	a subsequent examination of a patient for the purpose of monitoring earlier treatment	ANALYZE
hauling.n.01	the activity of transporting goods by truck	CARRY_TRANSPORT
carving.n.02	removing parts from hard material to create a desired pattern or shape	CAVE_CARVE
sculpture.n.02	creating figures or designs in three dimensions	CAVE_CARVE
hurl.n.01	a violent throw	THROW
drifting.n.01	aimless wandering from place to place	TRAVEL
molding.n.01	the act of creating something by casting it in a mold	CREATE_MATERIALIZE
disposal.n.03	the act or means of getting rid of something	DISCARD
fling.n.03	the act of flinging	THROW
castigation.n.02	verbal punishment	PUNISH
passing.n.06	going by something that is moving in order to get in front of it	OVERCOME_SURPASS
view.n.03	the act of looking or seeing or observing	SEE
trip.n.07	an unintentional but embarrassing blunder	MISTAKE
cause.n.01	events that provide the generative force that is the origin of something	CAUSE-SMT
causing.n.01	the act of causing something to happen	CAUSE-SMT
stop.n.03	a brief stay in the course of a journey	STOP
cession.n.01	the act of ceding	GIVE-UP_ABOLISH_ABANDON
concession.n.02	the act of conceding or yielding	GIVE-UP_ABOLISH_ABANDON
celebration.n.01	a joyful occasion for special festivities to mark some happy event	CELEBRATE_PARTY
celebration.n.02	any joyous diversion	CELEBRATE_PARTY
celebration.n.03	the public performance of a sacrament or solemn ceremony with all appropriate ritual	COMMUNE
cogitation.n.02	attentive consideration and meditation	THINK
certification.n.01	the act of certifying or bestowing a franchise on	AUTHORIZE_ADMIT
run.n.01	a score in baseball made by a runner touching all four bases safely	SCORE
shift.n.01	an event in which something is displaced without rotation	CHANGE_SWITCH
interchange.n.02	mutual interaction; the activity of reciprocating or exchanging (especially information)	REPLACE
turning.n.04	a movement in a new direction	TURN_CHANGE-DIRECTION
conversion.n.01	an event that results in a transformation	CONVERT
transportation.n.05	the commercial enterprise of moving goods and materials	CARRY_TRANSPORT
guidance.n.02	the act of guiding or showing the way	DIRECT_AIM_MANEUVER
headway.n.02	forward movement	GO-FORWARD
maneuver.n.03	a deliberate coordinated movement requiring dexterity and skill	DIRECT_AIM_MANEUVER
commitment.n.05	the official act of consigning a person to confinement (as in a prison or mental hospital)	CAGE_IMPRISON
enticement.n.03	the act of influencing by exciting hope or desire	LURE_ENTICE
rental.n.02	the act of paying for the use of something (as an apartment or house or car)	TAKE-A-SERVICE_RENT
pursuit.n.01	the act of pursuing in an effort to overtake or capture	FOLLOW-IN-SPACE
