wn:00902108n	a-scan_ultrasonography%1:04:00::
wn:11504478n	acoustic_resistance%1:19:00::
wn:00041899n	acquiring%1:04:00::
wn:00077419n	acquisition%1:04:00::
wn:01193886n	acquittal%1:04:00::
wn:05717266n	acridity%1:09:00::
wn:00438065n	acrobatic_stunt%1:04:00::
wn:00434075n	acrobatics%1:04:00::
wn:00302861n	acrobatics%1:04:01::
wn:07230796n	acrophony%1:10:00::
wn:00030358n	act%1:03:00::
wn:06892016n	act%1:10:02::
wn:07315350n	act_of_god%1:11:00::
wn:00548326n	acting%1:04:00::
wn:11421401n	actinic_radiation%1:19:00::
wn:00998037n	actinometry%1:04:00::
wn:00037396n	action%1:04:02::
wn:01182312n	action%1:04:04::
wn:00576451n	action%1:04:00::
wn:07308308n	action_potential%1:11:00::
wn:13426376n	activation%1:22:00::
wn:00236821n	activation%1:04:01::
wn:11421822n	activation_energy%1:19:00::
wn:00960395n	active_air_defense%1:04:00::
wn:13426591n	active_birth%1:22:00::
wn:13426726n	active_transport%1:22:00::
wn:00407535n	activity%1:04:00::
wn:01194711n	actual_eviction%1:04:00::
wn:00809886n	actual_possession%1:04:00::
wn:00757337n	actual_sin%1:04:00::
wn:00710338n	acupressure%1:04:00::
wn:00710155n	acupuncture%1:04:00::
wn:13426948n	acylation%1:22:00::
wn:00526259n	adagio%1:04:00::
wn:13427078n	adaptation%1:22:00::
wn:00193406n	adaptation%1:04:01::
wn:07440045n	adaptive_radiation%1:11:00::
wn:00087849n	addiction%1:04:00::
wn:00363788n	addition%1:04:02::
wn:13427356n	addition_reaction%1:22:00::
wn:07238694n	address%1:10:00::
wn:00333203n	adduction%1:04:00::
wn:00665970n	adenoidectomy%1:04:00::
wn:13427481n	adiabatic_process%1:22:00::
wn:00216038n	adjournment%1:04:00::
wn:01067070n	adjournment%1:04:01::
wn:00874457n	adjudication%1:04:00::
wn:07187150n	adjuration%1:10:00::
wn:07369604n	adjustment%1:11:00::
wn:00999787n	adjustment%1:04:01::
wn:01135952n	administration%1:04:00::
wn:00694990n	administration%1:04:01::
wn:00694866n	administration%1:04:02::
wn:13427633n	administrative_data_processing%1:22:00::
wn:01200000n	administrative_hearing%1:04:00::
wn:01137206n	administrivia%1:04:00::
wn:00588703n	admiralty%1:04:00::
wn:01218593n	admiration%1:04:00::
wn:01248191n	admission%1:04:00::
wn:00180413n	adoption%1:04:00::
wn:01185292n	adoption%1:04:02::
wn:01218766n	adoration%1:04:01::
wn:01043989n	adoration%1:04:02::
wn:00262596n	adornment%1:04:00::
wn:00930481n	adoxography%1:04:00::
wn:00666107n	adrenalectomy%1:04:00::
wn:07325639n	adrenarche%1:11:00::
wn:00656835n	adrenergic_agonist_eyedrop%1:04:00::
wn:13427789n	adsorption%1:22:00::
wn:00885297n	adult_education%1:04:00::
wn:00163630n	adulteration%1:04:00::
wn:00848466n	adultery%1:04:00::
wn:00364260n	advance%1:04:01::
wn:00249501n	advancement%1:04:02::
wn:13427989n	advection%1:22:00::
wn:00048828n	advent%1:04:00::
wn:00796315n	adventure%1:04:00::
wn:07336612n	adversity%1:11:00::
wn:05704096n	advertence%1:09:00::
wn:01101329n	advertising%1:04:00::
wn:00798959n	advertising_campaign%1:04:00::
wn:00577931n	advisory_service%1:04:00::
wn:01214171n	advocacy%1:04:00::
wn:13428159n	aeration%1:22:00::
wn:00200244n	aeration%1:04:00::
wn:00625858n	aerobics%1:04:00::
wn:11473685n	aerobiosis%1:19:00::
wn:11422114n	aerodynamic_force%1:19:00::
wn:11422277n	aerodynamic_lift%1:19:00::
wn:00949948n	aeronautical_engineering%1:04:00::
wn:00840057n	aerophagia%1:04:00::
wn:01016628n	aerophilately%1:04:00::
wn:11422597n	aerosol%1:19:00::
wn:07447261n	affair%1:11:00::
wn:01107359n	affairs%1:04:00::
wn:00755673n	affectation%1:04:00::
wn:01082061n	affiliation%1:04:00::
wn:11426778n	affinity%1:19:02::
wn:11422822n	affinity%1:19:01::
wn:07203126n	affirmation%1:10:02::
wn:01186192n	affirmation%1:04:00::
wn:06659685n	affirmative_action%1:10:00::
wn:00927694n	affixation%1:04:00::
wn:07305234n	affliction%1:11:00::
wn:00400278n	afforestation%1:04:00::
wn:07184545n	affray%1:10:00::
wn:01176335n	affray%1:04:01::
wn:01038147n	affusion%1:04:00::
wn:00656192n	aftercare%1:04:00::
wn:11411501n	aftereffect%1:19:00::
wn:11517898n	afterglow%1:19:00::
wn:11411610n	aftermath%1:19:00::
wn:07429637n	aftershock%1:11:00::
wn:01028534n	agape%1:04:00::
wn:14256889n	age-related_macular_degeneration%1:26:00::
wn:01154373n	ageism%1:04:00::
wn:13428308n	agenesis%1:22:00::
wn:01014490n	agglomeration%1:04:00::
wn:13428608n	agglutination%1:22:01::
wn:13428421n	agglutination%1:22:00::
wn:13428804n	agglutination%1:22:02::
wn:05739613n	agglutination_test%1:09:00::
wn:00373544n	aggrandizement%1:04:00::
wn:00768063n	aggravated_assault%1:04:00::
wn:01221790n	aggravation%1:04:00::
wn:00374835n	aggravation%1:04:01::
wn:00964569n	aggression%1:04:00::
wn:01237167n	aggression%1:04:02::
wn:01221611n	aggression%1:04:01::
wn:01172598n	aggro%1:04:00::
wn:13429006n	aging%1:22:00::
wn:00554300n	agitation%1:04:00::
wn:00333366n	agitation%1:04:01::
wn:06883274n	agnus_dei%1:10:00::
wn:00035697n	agon%1:04:00::
wn:05795044n	agreement%1:09:00::
wn:07175241n	agreement%1:10:00::
wn:01104406n	agribusiness%1:04:00::
wn:01030033n	agrypnia%1:04:00::
wn:01207609n	aid%1:04:00::
wn:00825331n	aikido%1:04:00::
wn:00815644n	aim%1:04:00::
wn:06255354n	air%1:10:02::
wn:00818170n	air_cover%1:04:00::
wn:00960192n	air_defense%1:04:00::
wn:14101317n	air_embolism%1:26:00::
wn:14520518n	air_mass%1:26:00::
wn:11423028n	air_pocket%1:19:00::
wn:00974111n	air_raid%1:04:00::
wn:00985356n	air_reconnaissance%1:04:00::
wn:01105635n	air_transportation%1:04:00::
wn:00300441n	air_travel%1:04:00::
wn:07347373n	air_wave%1:11:00::
wn:00825005n	airborne_patrol%1:04:00::
wn:07408086n	airburst%1:11:00::
wn:00305153n	aircraft_landing%1:04:00::
wn:00317709n	airdrop%1:04:00::
wn:07406601n	airflow%1:11:00::
wn:00312266n	airing%1:04:01::
wn:00316594n	airlift%1:04:00::
wn:06264812n	airmail%1:10:00::
wn:00607075n	airplane_mechanics%1:04:00::
wn:11423356n	airstream%1:19:00::
wn:07224684n	alarmism%1:10:00::
wn:00948064n	alcohol_abuse%1:04:00::
wn:13429194n	aldol_reaction%1:22:00::
wn:07224774n	alert%1:10:00::
wn:00998196n	algometry%1:04:00::
wn:05847438n	algorithm%1:09:00::
wn:07300781n	algorithm_error%1:11:00::
wn:01108150n	alienation%1:04:01::
wn:00035891n	alienation%1:04:00::
wn:00734107n	alienation_of_affection%1:04:00::
wn:01000068n	alignment%1:04:00::
wn:00056551n	aliyah%1:04:00::
wn:00648087n	alkalimetry%1:04:00::
wn:00489730n	all_fours%1:04:00::
wn:00164579n	allocation%1:04:01::
wn:07239183n	allocution%1:10:00::
wn:07437870n	allogamy%1:11:00::
wn:07337935n	allomerism%1:11:00::
wn:00710692n	allopathy%1:04:00::
wn:01083645n	allotment%1:04:00::
wn:11409329n	allotropy%1:19:00::
wn:01141841n	allowance%1:04:00::
wn:11423471n	alluvial_fan%1:19:00::
wn:13429300n	alluvion%1:22:00::
wn:01090225n	alms-giving%1:04:00::
wn:01090117n	alms%1:04:00::
wn:07329169n	alpha%1:11:00::
wn:13429432n	alpha_decay%1:22:00::
wn:11423607n	alpha_radiation%1:19:00::
wn:11423756n	alpha_rhythm%1:19:00::
wn:05799761n	alpha_test%1:09:00::
wn:01011028n	alphabetization%1:04:00::
wn:00325975n	alpinism%1:04:00::
wn:00199707n	alteration%1:04:01::
wn:11423952n	alternating_current%1:19:00::
wn:01010684n	alternation%1:04:00::
wn:11424194n	alternation_of_generations%1:19:00::
wn:13429585n	alternative_birth%1:22:00::
wn:11424400n	alternative_energy%1:19:00::
wn:00613473n	alternative_medicine%1:04:00::
wn:09195098n	altocumulus%1:17:00::
wn:09195235n	altostratus%1:17:00::
wn:01238424n	amalgamation%1:04:00::
wn:00415988n	ambages%1:04:00::
wn:00588780n	ambassadorship%1:04:00::
wn:00284101n	amble%1:04:00::
wn:00283951n	ambulation%1:04:00::
wn:01246926n	ambush%1:04:00::
wn:00261029n	amelioration%1:04:00::
wn:13429780n	amelogenesis%1:22:00::
wn:01250101n	amendment%1:04:00::
wn:00469651n	american_football%1:04:00::
wn:00413554n	americanism%1:04:00::
wn:13429888n	americanization%1:22:00::
wn:13430074n	amitosis%1:22:00::
wn:13430262n	ammonification%1:22:00::
wn:01249315n	amnesty%1:04:00::
wn:00943600n	amniocentesis%1:04:00::
wn:01122938n	amortization%1:04:01::
wn:01121070n	amortization%1:04:00::
wn:11424704n	amperage%1:19:00::
wn:00981369n	amphibious_assault%1:04:00::
wn:00972319n	amphibious_demonstration%1:04:00::
wn:00057748n	amphibious_landing%1:04:00::
wn:00981180n	amphibious_operation%1:04:00::
wn:07373481n	amphimixis%1:11:00::
wn:00371487n	amplification%1:04:02::
wn:00365329n	amplification%1:04:01::
wn:07444882n	amplitude%1:11:00::
wn:06281594n	amplitude_modulation%1:10:00::
wn:00666350n	amputation%1:04:00::
wn:00683722n	amygdalotomy%1:04:00::
wn:13430391n	amylolysis%1:22:00::
wn:13430495n	anabolism%1:22:00::
wn:15180304n	anachronism%1:28:00::
wn:13430786n	anaglyphy%1:22:00::
wn:00502030n	anagrams%1:04:00::
wn:05780339n	analogy%1:09:00::
wn:00651176n	analogy%1:04:00::
wn:00634276n	analysis%1:04:00::
wn:05772667n	analysis%1:09:00::
wn:00860857n	anamnestic_response%1:04:00::
wn:13431043n	anamorphism%1:22:00::
wn:13431221n	anamorphosis%1:22:00::
wn:13431569n	anastalsis%1:22:00::
wn:00269471n	anastylosis%1:04:00::
wn:07233863n	anathema%1:10:00::
wn:00206600n	anathematization%1:04:00::
wn:00646187n	anatomy%1:04:00::
wn:01029323n	ancestor_worship%1:04:00::
wn:00052052n	anchorage%1:04:00::
wn:13431722n	androgenesis%1:22:00::
wn:07220586n	anecdote%1:10:00::
wn:00998329n	anemography%1:04:00::
wn:00998423n	anemometry%1:04:00::
wn:07446744n	angelus_bell%1:11:00::
wn:13431992n	angiogenesis%1:22:00::
wn:00905336n	angiography%1:04:00::
wn:00666468n	angioplasty%1:04:00::
wn:00413674n	anglicism%1:04:00::
wn:13432085n	anglicization%1:22:00::
wn:00454237n	angling%1:04:00::
wn:00998514n	angulation%1:04:01::
wn:00405106n	angulation%1:04:00::
wn:00917211n	animal_husbandry%1:04:00::
wn:00908405n	animation%1:04:00::
wn:05735256n	animatism%1:09:00::
wn:13432249n	anisogamy%1:22:00::
wn:00402951n	annealing%1:04:00::
wn:00373418n	annexation%1:04:01::
wn:00078536n	annexation%1:04:00::
wn:00218208n	annihilation%1:04:00::
wn:07330828n	annihilation%1:11:00::
wn:00371735n	annotation%1:04:00::
wn:00418394n	annoyance%1:04:00::
wn:11424816n	annual_ring%1:19:00::
wn:07369099n	annular_eclipse%1:11:00::
wn:01240979n	annulment%1:04:00::
wn:00712833n	anointing%1:04:00::
wn:01039637n	anointing_of_the_sick%1:04:00::
wn:13432443n	anovulation%1:22:00::
wn:07200527n	answer%1:10:00::
wn:01234952n	answer%1:04:00::
wn:01074252n	antagonism%1:04:00::
wn:07326880n	antecedent%1:11:00::
wn:13432647n	anthropogenesis%1:22:00::
wn:01045202n	anthropolatry%1:04:00::
wn:00998604n	anthropometry%1:04:00::
wn:05767386n	anthropomorphism%1:09:00::
wn:00412982n	anthropophagy%1:04:00::
wn:00790086n	anti-takeover_defense%1:04:00::
wn:00799125n	anti-war_movement%1:04:00::
wn:00987775n	antiaircraft_fire%1:04:00::
wn:00427580n	antic%1:04:00::
wn:00069444n	anticipatory_breach%1:04:00::
wn:07427951n	anticlimax%1:11:00::
wn:00710015n	anticoagulation%1:04:00::
wn:14521021n	anticyclone%1:26:00::
wn:11479640n	antiferromagnetism%1:19:00::
wn:00664285n	antipyresis%1:04:00::
wn:13432802n	antiredeposition%1:22:00::
wn:13432903n	antisepsis%1:22:00::
wn:11520120n	antitrade_wind%1:19:00::
wn:11424938n	antitrades%1:19:00::
wn:01184045n	antitrust_case%1:04:00::
wn:14081665n	anxiety_attack%1:26:00::
wn:00530386n	apache_dance%1:04:00::
wn:00541972n	apache_devil_dance%1:04:00::
wn:06659168n	apartheid%1:10:00::
wn:00549472n	apery%1:04:00::
wn:05739400n	apgar_score%1:09:00::
wn:13433061n	aphaeresis%1:22:00::
wn:00649992n	apheresis%1:04:00::
wn:13433283n	aphesis%1:22:00::
wn:07315631n	apocalypse%1:11:00::
wn:13433462n	apogamy%1:22:00::
wn:13433727n	apomixis%1:22:00::
wn:11486381n	apoptosis%1:19:00::
wn:00204814n	apostasy%1:04:00::
wn:00588881n	apostleship%1:04:00::
wn:07285872n	appalling%1:11:00::
wn:11425088n	apparent_motion%1:19:00::
wn:07323436n	apparition%1:11:00::
wn:00050484n	apparition%1:04:00::
wn:01185611n	appeal%1:04:00::
wn:07321772n	appearance%1:11:00::
wn:01233627n	appearance%1:04:01::
wn:00050195n	appearance%1:04:00::
wn:00755277n	appearance%1:04:02::
wn:01150938n	appeasement%1:04:00::
wn:00666232n	appendectomy%1:04:00::
wn:05708658n	apperception%1:09:00::
wn:05795835n	applecart%1:09:00::
wn:00949134n	application%1:04:02::
wn:00712225n	application%1:04:03::
wn:00633329n	application%1:04:01::
wn:00036061n	application%1:04:00::
wn:00163779n	appointment%1:04:00::
wn:00586105n	appointment%1:04:01::
wn:00090393n	appointment%1:04:02::
wn:13433948n	apposition%1:22:00::
wn:05733583n	appraisal%1:09:00::
wn:00875519n	appraisal%1:04:00::
wn:05806623n	appreciation%1:09:00::
wn:00364440n	appreciation%1:04:01::
wn:00088725n	apprehension%1:04:00::
wn:00588998n	apprenticeship%1:04:00::
wn:00941140n	approach%1:04:02::
wn:00280853n	approach%1:04:00::
wn:07310507n	approach%1:11:00::
wn:00573268n	approach%1:04:01::
wn:00083975n	appropriation%1:04:00::
wn:00146277n	approximation%1:04:00::
wn:00514356n	april_fool%1:04:00::
wn:00916147n	aquaculture%1:04:00::
wn:00939091n	aquatint%1:04:00::
wn:01093965n	arbitrage%1:04:00::
wn:01190884n	arbitration%1:04:00::
wn:00917614n	arboriculture%1:04:00::
wn:01045714n	arborolatry%1:04:00::
wn:00446980n	archery%1:04:00::
wn:00610738n	architecture%1:04:00::
wn:05773049n	argumentation%1:09:00::
wn:07182485n	argy-bargy%1:10:00::
wn:05776592n	arithmancy%1:09:00::
wn:00872541n	arithmetic_operation%1:04:00::
wn:07245472n	arm-twisting%1:10:00::
wn:00629176n	arm_exercise%1:04:00::
wn:00956340n	armageddon%1:04:00::
wn:00822159n	armed_forces_censorship%1:04:00::
wn:00781912n	armed_robbery%1:04:00::
wn:01156899n	arming%1:04:00::
wn:00808485n	arms_control%1:04:00::
wn:01110633n	arms_deal%1:04:00::
wn:07472808n	arms_race%1:11:00::
wn:05714466n	aroma%1:09:01::
wn:00662196n	aromatherapy%1:04:00::
wn:00242808n	arousal%1:04:00::
wn:00939628n	arrangement%1:04:01::
wn:00048225n	arrival%1:04:00::
wn:00048374n	arrival%1:04:01::
wn:04887912n	arrogance%1:07:00::
wn:00378296n	arson%1:04:00::
wn:00933420n	art%1:04:00::
wn:00885457n	art_class%1:04:00::
wn:00998768n	arterial_blood_gases%1:04:00::
wn:11430863n	arterial_pressure%1:19:00::
wn:00905742n	arteriography%1:04:00::
wn:00943861n	arthrocentesis%1:04:00::
wn:00666600n	arthrodesis%1:04:00::
wn:00905842n	arthrography%1:04:00::
wn:00666733n	arthroplasty%1:04:00::
wn:00666884n	arthroscopy%1:04:00::
wn:07073208n	articulation%1:10:01::
wn:00147314n	articulation%1:04:00::
wn:00845352n	artificial_insemination%1:04:00::
wn:00831919n	artificial_respiration%1:04:00::
wn:00994449n	artillery_fire%1:04:00::
wn:00935005n	arts_and_crafts%1:04:00::
wn:00361684n	asbestos_abatement%1:04:00::
wn:07311661n	ascension%1:11:01::
wn:01069012n	asceticism%1:04:00::
wn:13434120n	asexual_reproduction%1:22:00::
wn:01038261n	aspersion%1:04:01::
wn:00221056n	assassination%1:04:00::
wn:00974444n	assault%1:04:00::
wn:00767826n	assault%1:04:01::
wn:05738625n	assay%1:09:00::
wn:00791527n	assay%1:04:00::
wn:01229938n	assembly%1:04:00::
wn:07175575n	assent%1:10:00::
wn:00701325n	assertiveness_training%1:04:00::
wn:13434406n	assibilation%1:22:00::
wn:01231435n	assignation%1:04:00::
wn:00730247n	assignment%1:04:00::
wn:00164345n	assignment%1:04:02::
wn:00796586n	assignment%1:04:03::
wn:13434878n	assimilation%1:22:02::
wn:13434688n	assimilation%1:22:01::
wn:13434537n	assimilation%1:22:00::
wn:05755714n	assimilation%1:09:00::
wn:00558008n	assist%1:04:00::
wn:00222939n	assisted_suicide%1:04:00::
wn:07284848n	associate%1:11:00::
wn:00589103n	associateship%1:04:00::
wn:01081628n	association%1:04:00::
wn:05763916n	association%1:09:00::
wn:13435152n	association%1:22:00::
wn:06137918n	associationism%1:09:00::
wn:00847770n	assortative_mating%1:04:00::
wn:00082870n	assumption%1:04:00::
wn:07357866n	assumption%1:11:00::
wn:00083260n	assumption%1:04:01::
wn:05717549n	astringency%1:09:00::
wn:01045807n	astrolatry%1:04:00::
wn:13435377n	asynchronous_operation%1:22:00::
wn:06279071n	asynchronous_transfer_mode%1:10:00::
wn:07343574n	atavism%1:11:00::
wn:07456638n	athletic_contest%1:11:00::
wn:00463246n	athletic_game%1:04:00::
wn:00893498n	athletic_training%1:04:00::
wn:00886582n	athletics%1:04:01::
wn:14520278n	atmosphere%1:26:00::
wn:11476231n	atmospheric_electricity%1:19:00::
wn:11425580n	atmospheric_phenomenon%1:19:00::
wn:11429458n	atmospheric_pressure%1:19:00::
wn:11425989n	atomic_energy%1:19:00::
wn:11426125n	atomic_power%1:19:00::
wn:06103270n	atomic_theory%1:09:01::
wn:06138099n	atomism%1:09:01::
wn:06102476n	atomism%1:09:00::
wn:00388210n	atomization%1:04:00::
wn:00218602n	atomization%1:04:01::
wn:00424767n	atrocity%1:04:00::
wn:07427060n	atrophy%1:11:00::
wn:01212882n	attachment%1:04:02::
wn:00379422n	attachment%1:04:01::
wn:00972621n	attack%1:04:00::
wn:00457723n	attack%1:04:04::
wn:00773814n	attack%1:04:02::
wn:00236953n	attack%1:04:01::
wn:14081375n	attack%1:26:00::
wn:13435548n	attack%1:22:00::
wn:00232765n	attainder%1:04:00::
wn:00062806n	attainment%1:04:00::
wn:00048656n	attainment%1:04:01::
wn:00786195n	attempt%1:04:00::
wn:01233397n	attendance%1:04:00::
wn:05702275n	attention%1:09:00::
wn:01228645n	attention%1:04:02::
wn:05702726n	attentiveness%1:09:00::
wn:07427534n	attenuation%1:11:00::
wn:00578154n	attestation_service%1:04:00::
wn:00755863n	attitude%1:04:00::
wn:00599917n	attorney_general%1:04:00::
wn:00589217n	attorneyship%1:04:00::
wn:11426530n	attraction%1:19:00::
wn:06615561n	attraction%1:10:00::
wn:05734909n	attribution%1:09:01::
wn:05734559n	attribution%1:09:00::
wn:07356970n	attrition%1:11:00::
wn:00361795n	attrition%1:04:00::
wn:00491161n	auction%1:04:01::
wn:00092366n	auction%1:04:00::
wn:05755007n	audio_lingual_acquisition%1:09:00::
wn:00998982n	audiometry%1:04:00::
wn:00141176n	audit%1:04:00::
wn:00794614n	audition%1:04:01::
wn:05711503n	auditory_perception%1:09:00::
wn:07369470n	augmentation%1:11:00::
wn:00365231n	augmentation%1:04:00::
wn:07286014n	augury%1:11:00::
wn:11427067n	aureole%1:19:00::
wn:11427241n	aurora%1:19:00::
wn:11427501n	aurora_australis%1:19:00::
wn:11427619n	aurora_borealis%1:19:00::
wn:00876542n	auscultation%1:04:00::
wn:07286799n	auspice%1:11:00::
wn:01214863n	auspices%1:04:00::
wn:00154233n	authentication%1:04:00::
wn:01138670n	authorization%1:04:00::
wn:00240754n	authorship%1:04:01::
wn:01164730n	auto-da-fe%1:04:00::
wn:01124110n	auto_limitation%1:04:00::
wn:00607185n	auto_mechanics%1:04:00::
wn:00449517n	auto_racing%1:04:00::
wn:13435770n	autocatalysis%1:22:00::
wn:00855527n	autoeroticism%1:04:00::
wn:11427736n	autofluorescence%1:19:00::
wn:07438655n	autogamy%1:11:00::
wn:00710550n	autogenic_therapy%1:04:00::
wn:13435918n	autolysis%1:22:00::
wn:13436063n	automatic_data_processing%1:22:00::
wn:00102457n	automation%1:04:00::
wn:00859490n	automatism%1:04:00::
wn:07458892n	automobile_race%1:11:00::
wn:00950070n	automotive_technology%1:04:00::
wn:00667096n	autoplasty%1:04:00::
wn:00141396n	autopsy%1:04:00::
wn:13436206n	autoradiography%1:22:00::
wn:13436503n	autoregulation%1:22:00::
wn:00915347n	autosexing%1:04:00::
wn:00158805n	autosuggestion%1:04:00::
wn:00394242n	autotomy%1:04:00::
wn:13436361n	autotype%1:22:00::
wn:13436682n	auxesis%1:22:00::
wn:13436809n	auxiliary_operation%1:22:00::
wn:07405137n	avalanche%1:11:00::
wn:07285036n	avalanche%1:11:01::
wn:00758525n	avarice%1:04:00::
wn:00941604n	avenue%1:04:00::
wn:00204022n	aversion%1:04:00::
wn:00701491n	aversion_therapy%1:04:00::
wn:05758907n	aversive_conditioning%1:09:00::
wn:01077738n	averting%1:04:00::
wn:00432689n	avocation%1:04:00::
wn:00203753n	avoidance%1:04:00::
wn:07297376n	avulsion%1:11:00::
wn:00384658n	avulsion%1:04:00::
wn:01259773n	awakening%1:04:00::
wn:00087663n	award%1:04:00::
wn:05675905n	awareness%1:09:00::
wn:00456690n	away_game%1:04:00::
wn:07441619n	axial_rotation%1:11:00::
wn:00902240n	b-scan_ultrasonography%1:04:00::
wn:07376168n	baa%1:11:00::
wn:00827535n	babbitting%1:04:00::
wn:00379993n	babel%1:04:00::
wn:00117267n	babinski%1:04:00::
wn:00796767n	baby%1:04:00::
wn:00655727n	babysitting%1:04:00::
wn:07244154n	baccalaureate%1:10:01::
wn:00489933n	baccarat%1:04:00::
wn:00725775n	back%1:04:00::
wn:06260817n	back_channel%1:10:00::
wn:00434396n	back_circle%1:04:00::
wn:00281291n	back_door%1:04:00::
wn:00629803n	back_exercise%1:04:00::
wn:00434231n	backbend%1:04:00::
wn:07408519n	backblast%1:11:00::
wn:07408621n	backfire%1:11:00::
wn:07303153n	backfire%1:11:03::
wn:00073032n	backfire%1:04:00::
wn:07406350n	backflow%1:11:00::
wn:00502822n	backgammon%1:04:00::
wn:07430480n	background%1:11:00::
wn:07285191n	background%1:11:01::
wn:07430770n	background_noise%1:11:00::
wn:13436992n	background_processing%1:22:00::
wn:07431119n	background_radiation%1:11:00::
wn:00566690n	backhand%1:04:00::
wn:00568057n	backhand_drive%1:04:00::
wn:00133160n	backhander%1:04:00::
wn:01213886n	backing%1:04:00::
wn:00203020n	backlash%1:04:00::
wn:00068333n	backsliding%1:04:00::
wn:07442439n	backspin%1:11:00::
wn:00177638n	backstop%1:04:00::
wn:00571283n	backstroke%1:04:00::
wn:13437181n	backup%1:22:00::
wn:13437379n	bacteriolysis%1:22:00::
wn:13437495n	bacteriostasis%1:22:00::
wn:11427842n	bad_luck%1:19:00::
wn:14523090n	bad_weather%1:26:00::
wn:06882561n	badge%1:10:00::
wn:00425278n	badgering%1:04:00::
wn:00480508n	badminton%1:04:00::
wn:00501479n	bagatelle%1:04:00::
wn:00589318n	bailiffship%1:04:00::
wn:01108971n	bailment%1:04:00::
wn:00091977n	bait_and_switch%1:04:00::
wn:00454855n	bait_casting%1:04:00::
wn:00425182n	baiting%1:04:00::
wn:00715843n	baking%1:04:01::
wn:00246341n	baking%1:04:00::
wn:00107279n	balk%1:04:00::
wn:00720166n	ball-buster%1:04:00::
wn:07448885n	ball%1:11:00::
